name,lat,lon
Egholm Havn (færge),57.0611972134279,9.87600140255894
Strynø Havn (færge),54.9036736582139,10.6293981547752
Birkholm Havn (færge),54.9273104831871,10.4996182016633
Assens Havn (færge),55.270310484761,9.89008162735065
Baagø Havn (færge),55.297263194328,9.80420194858224
Endelave Havn (færge),55.7618948646268,10.2727409676017
Snaptun Havn (færge),55.8220915014466,10.0522608086772
Barsø Landing Havn (færge),55.1099621412312,9.5147416014819
Barsø Havn (færge),55.1193531242995,9.54967084035622
Bjørnø Havn (færge),55.0673949939557,10.2517319298333
Vadehavscenteret (traktorbus),55.296283649791,8.66994862085941
Mandø Kro (traktorbus),55.2763243831146,8.53677061652352
Fløjterupvej,55.5783407022752,12.2010057437531
Sortemosen,55.5817810203232,12.1914770741147
Nykøbing Falster Rutebilstation (fjernbus),54.7668614353104,11.8772790834346
Toreby (fjernbus),54.7542593489519,11.7859640308872
Radsted (fjernbus),54.7872415571545,11.686508976269
Sakskøbing Station (fjernbus),54.7966570499788,11.6347440860652
Våbensted Skole (fjernbus),54.7917987329561,11.5873193302312
Maribo Station (fjernbus),54.7763892224732,11.5008176515341
Stokkemarke (fjernbus),54.8372556004843,11.3682893067626
Halsted Kirke (fjernbus),54.8473707034685,11.2256749225723
Nakskov Station (fjernbus),54.8330081882041,11.1390987993983
Tårs Færgehavn (fjernbus),54.8758197790192,11.031376870595
Spodsbjerg Færgehavn (fjernbus),54.9351447533201,10.8316797509537
Rudkøbing Busterminal (fjernbus),54.9408680340875,10.7217640617302
"Lundby, Tåsinge (fjernbus)",54.9971163187342,10.6113898986288
"Bregninge, Tåsinge (fjernbus)",55.0214706918513,10.6074705211574
"Vindeby, Tåsinge (fjernbus)",55.0400736103355,10.612331525328
"Sundbrovej/Broen, Svendborg (fjernbus)",55.0525819681498,10.5954568378846
Svendborg Rutebilstation (fjernbus),55.0606296037657,10.6135805745586
Kværndrup Nord (fjernbus),55.1891082647587,10.5246594911855
Ringe/Ørbækvej (fjernbus),55.2362195415208,10.4904465626882
Ørbækvej/Holluf Pile Stien (fjernbus),55.3662281419437,10.4559776435114
Odense Congress Center (fjernbus),55.3727549802654,10.4436555917813
Rosengårdcentret/Ørbækvej (fjernbus),55.384624955416,10.4292651501658
"Benedikts Plads, Odense (fjernbus)",55.3930491444088,10.3978645824348
"Overgade, Odense (fjernbus)",55.3973540116548,10.3899632208588
"Odense Rutebilstation, Dannebrogsgade (fjernbus)",55.4023109997401,10.3863311579084
Sortemosen,55.5816851138316,12.1917073644608
Fløjterupvej,55.5781557557799,12.2015461505061
"København, Bernstorffsgade (fjernbus)",55.6738997157368,12.5651092538343
Ystad (fjernbus),55.4273024124746,13.8266644587323
Toftegårds Plads,55.6617458366299,12.518319853641
Fælledvej (Dragør),55.5833355829733,12.626006471629
Kovangen 302,55.9902835651421,12.4012159961313
Kovangen,55.990696866927,12.3937292718237
Kovangen 302,55.9902453473843,12.400972030143
Holte Midtpunkt,55.8112171790384,12.4704136048207
Holte Midtpunkt,55.8111149236156,12.4705322313788
Hellebo Park,56.0500432750475,12.5868668105187
Bachersmindelejren,55.5799072396357,12.6218327689844
